,QualityMeasure1,QualityMeasure10,QualityMeasure11,QualityMeasure12,QualityMeasure13,QualityMeasure14,QualityMeasure15,QualityMeasure15Chemo,QualityMeasure15RT,QualityMeasure15Surgery,QualityMeasure16,QualityMeasure17,QualityMeasure18,QualityMeasure19,QualityMeasure19_color,QualityMeasure2,QualityMeasure20,QualityMeasure21A,QualityMeasure21B,QualityMeasure22,QualityMeasure23,QualityMeasure24,QualityMeasure27,QualityMeasure3,QualityMeasure4,QualityMeasure5,QualityMeasure6,QualityMeasure7,QualityMeasure8A,QualityMeasure8B,QualityMeasure9,,,,
Fail,17.6029962546816,45.3183520599251,0.749063670411985,2.24719101123596,,51.310861423221,51.310861423221,49.438202247191,62.9213483146067,7.11610486891386,31.0861423220974,34.0823970037453,5.99250936329588,1.12359550561798,,0.749063670411985,0.749063670411985,15.7303370786517,1.49812734082397,100,94.7565543071161,64.7940074906367,,2.24719101123596,64.4194756554307,2.62172284644195,2.24719101123596,10.4868913857678,2.62172284644195,39.3258426966292,98.876404494382,,,,
Pass,82.3970037453184,54.6816479400749,99.250936329588,97.7528089887641,100,48.689138576779,47.940074906367,10.8614232209738,36.3295880149813,0.749063670411985,68.9138576779026,65.9176029962547,82.3970037453184,54.3071161048689,,99.250936329588,22.4719101123595,8.61423220973783,14.6067415730337,,1.12359550561798,32.2097378277154,,64.4194756554307,11.2359550561798,97.3782771535581,97.7528089887641,89.5131086142322,97.3782771535581,8.98876404494382,1.12359550561798,,,,
Excluded,,,,,,,0.749063670411985,,,,,,11.6104868913858,11.2359550561798,,,1.12359550561798,,8.23970037453183,,4.11985018726592,2.99625468164794,100,,,,,,,51.685393258427,,,,,
Green,,,,,,,,,,,,,,,3.37078651685393,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fail,135.719101123596,349.404494382022,5.77528089887641,17.3258426966292,0,395.606741573034,395.606741573034,381.168539325843,485.123595505618,54.8651685393258,239.674157303371,262.775280898876,46.2022471910112,8.66292134831461,0,5.77528089887641,5.77528089887641,121.280898876404,11.5505617977528,771,730.573033707865,499.561797752809,0,17.3258426966292,496.674157303371,20.2134831460674,17.3258426966292,80.8539325842697,20.2134831460674,303.202247191011,762.337078651685,,6641.57303370787,,0.337441314553991
Pass,635.280898876405,421.595505617978,765.224719101124,753.674157303371,771,375.393258426966,369.61797752809,83.7415730337079,280.101123595506,5.77528089887641,531.325842696629,508.224719101124,635.280898876405,418.707865168539,0,765.224719101124,173.258426966292,66.4157303370787,112.61797752809,0,8.66292134831461,248.337078651685,0,496.674157303371,86.6292134831461,750.786516853933,753.674157303371,690.14606741573,750.786516853933,69.3033707865169,8.66292134831461,,11536.1235955056,,0.586120892018779
Excluded,0,0,0,0,0,0,5.77528089887641,0,0,0,0,0,89.5168539325843,86.6292134831461,0,0,8.66292134831461,0,63.5280898876404,0,31.7640449438202,23.1011235955056,771,0,0,0,0,0,0,398.494382022472,0,,1478.47191011236,,0.0751173708920188
Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.9887640449438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,25.9887640449438,,0.00132042253521127
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19682.1573033708,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6,,,,,,,
